service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
281,0,0,0,0,1,0,0,20250606,20250711
282,0,0,0,0,0,1,0,20250607,20250712
420,1,1,1,1,0,0,0,20250602,20250716
696,1,1,1,1,0,0,0,20250519,20250630
697,0,0,0,0,1,0,0,20250523,20250627
698,1,1,1,1,0,0,0,20250701,20250716
699,0,0,0,0,1,0,0,20250704,20250711
700,0,0,0,0,0,0,1,20250518,20250629
702,0,0,0,0,0,0,1,20250706,20250713
706,0,0,0,0,1,0,0,20250523,20250627
707,1,1,1,1,0,0,0,20250519,20250630
709,0,0,0,0,0,0,1,20250518,20250629
710,0,0,0,0,1,0,0,20250704,20250711
711,1,1,1,1,0,0,0,20250701,20250716
713,0,0,0,0,0,0,1,20250706,20250713
718,1,1,1,1,1,0,0,20250519,20250716
719,1,1,1,1,1,0,0,20250519,20250716
723,1,1,1,1,1,0,0,20250519,20250716
731,1,1,1,1,1,0,0,20250519,20250716
732,1,1,1,1,1,0,0,20250519,20250716
741,1,1,1,1,1,0,0,20250519,20250530
761,1,1,1,1,1,0,0,20250519,20250716
763,1,1,1,1,1,0,0,20250519,20250716
765,1,1,1,1,1,0,0,20250519,20250716
767,1,1,1,1,1,0,0,20250519,20250716
769,1,1,1,1,1,0,0,20250519,20250716
771,1,1,1,1,1,0,0,20250519,20250716
773,1,1,1,1,1,0,0,20250519,20250630
775,1,1,1,1,1,0,0,20250701,20250716
777,1,1,1,1,1,0,0,20250519,20250716
781,1,1,1,1,1,0,0,20250519,20250716
783,1,1,1,1,1,0,0,20250519,20250716
785,1,1,1,1,1,0,0,20250519,20250716
787,1,1,1,1,1,0,0,20250519,20250716
791,1,1,1,1,1,0,0,20250519,20250716
795,1,1,1,1,1,0,0,20250519,20250716
803,1,1,1,1,1,0,0,20250519,20250716
807,1,1,1,1,1,0,0,20250519,20250716
814,1,1,1,1,1,0,0,20250519,20250716
816,1,1,1,1,1,0,0,20250519,20250716
819,0,0,0,0,0,1,1,20250517,20250713
868,0,0,0,0,0,1,1,20250517,20250713
871,0,0,0,0,0,1,1,20250517,20250713
872,0,0,0,0,0,1,1,20250517,20250713
876,0,0,0,0,0,1,1,20250517,20250531
882,0,0,0,0,0,0,1,20250601,20250713
