fare_id,route_id,origin_id,destination_id,contains_id
4020-1,29,1,1,
4020-1,29,2,2,
4020-1,29,3,3,
4020-1,29,4,4,
4020-1,30,4,4,
4020-1,31,2,2,
4020-1,31,3,3,
4020-2,29,1,2,
4020-2,29,2,1,
4020-2,29,2,3,
4020-2,29,3,4,
4020-2,29,4,3,
4020-2,31,1,2,
4020-2,31,2,3,
4020-3,29,1,3,
4020-3,29,2,4,
4020-3,31,1,3,
4020-4,29,1,4,
4020-4,29,4,1,
4021-1,6,1,1,
4021-1,6,2,2,
4021-1,6,4,4,
4021-1,6,5,5,
4021-1,6,7,7,
4021-1,6,8,8,
4021-1,6,9,9,
4021-1,7,2,2,
4021-1,7,3,3,
4021-1,7,4,4,
4021-1,8,7,7,
4021-1,8,8,8,
4021-1,9,3,3,
4021-1,9,5,5,
4021-1,10,5,5,
4021-1,10,7,7,
4021-1,10,8,8,
4021-1,12,8,8,
4021-1,12,9,9,
4021-2,6,1,2,
4021-2,6,3,2,
4021-2,6,4,8,
4021-2,6,7,3,
4021-2,6,7,5,
4021-2,6,7,8,
4021-2,6,8,9,
4021-2,6,9,8,
4021-2,7,1,2,
4021-2,7,3,2,
4021-2,8,7,8,
4021-2,8,8,7,
4021-2,8,8,9,
4021-2,8,9,8,
4021-2,9,5,3,
4021-2,10,5,7,
4021-2,10,7,5,
4021-2,10,7,8,
4021-2,10,8,7,
4021-2,10,8,9,
4021-2,10,9,8,
4021-2,12,8,9,
4021-2,12,9,8,
4021-3,6,1,3,
4021-3,6,2,4,
4021-3,6,3,8,
4021-3,6,4,9,
4021-3,6,5,8,
4021-3,6,7,2,
4021-3,6,7,9,
4021-3,6,8,3,
4021-3,6,8,5,
4021-3,6,9,4,
4021-3,7,1,3,
4021-3,7,2,4,
4021-3,8,9,7,
4021-3,9,1,3,
4021-3,10,5,8,
4021-3,10,7,9,
4021-3,10,8,5,
4021-3,10,9,7,
4021-4,6,1,4,
4021-4,6,1,5,
4021-4,6,1,7,
4021-4,6,2,8,
4021-4,6,8,2,
4021-4,6,9,3,
4021-4,6,9,5,
4021-4,7,1,4,
4021-4,9,1,5,
4021-4,10,9,5,
4021-5,6,1,8,
4021-5,6,2,9,
4021-5,6,9,2,
4021-6,6,1,9,
4022-1,32,2,2,
4022-1,33,2,2,
4022-1,33,3,3,
4022-1,34,1,1,
4022-1,34,2,2,
4022-1,34,3,3,
4022-1,35,3,3,
4022-1,35,4,4,
4022-1,36,1,1,
4022-1,36,2,2,
4022-1,36,3,3,
4022-1,36,4,4,
4022-1,36,8,8,
4022-1,36,9,9,
4022-1,37,1,1,
4022-1,37,2,2,
4022-1,37,3,3,
4022-1,37,4,4,
4022-1,38,2,2,
4022-1,38,3,3,
4022-1,38,4,4,
4022-2,32,1,2,
4022-2,33,1,2,
4022-2,33,2,1,
4022-2,33,3,2,
4022-2,34,1,2,
4022-2,34,2,1,
4022-2,34,2,3,
4022-2,34,3,2,
4022-2,35,3,4,
4022-2,36,1,2,
4022-2,36,2,3,
4022-2,36,3,2,
4022-2,36,3,4,
4022-2,36,4,3,
4022-2,36,4,8,
4022-2,36,8,4,
4022-2,36,8,9,
4022-2,36,9,8,
4022-2,37,1,2,
4022-2,37,2,1,
4022-2,37,2,3,
4022-2,37,3,2,
4022-2,37,4,3,
4022-2,38,1,2,
4022-2,38,2,3,
4022-2,38,3,2,
4022-2,38,3,4,
4022-2,38,4,3,
4022-3,33,1,3,
4022-3,33,3,1,
4022-3,34,1,3,
4022-3,34,3,1,
4022-3,36,1,3,
4022-3,36,2,4,
4022-3,36,3,8,
4022-3,36,4,2,
4022-3,36,4,9,
4022-3,36,8,3,
4022-3,36,9,4,
4022-3,37,1,3,
4022-3,37,2,4,
4022-3,37,3,1,
4022-3,37,4,2,
4022-3,38,1,3,
4022-3,38,2,4,
4022-3,38,4,2,
4022-4,36,1,4,
4022-4,36,2,8,
4022-4,36,3,9,
4022-4,36,4,1,
4022-4,36,8,2,
4022-4,36,9,3,
4022-4,37,1,4,
4022-4,37,4,1,
4022-4,38,1,4,
4022-5,36,1,8,
4022-5,36,2,9,
4022-5,36,8,1,
4022-5,36,9,2,
4022-6,36,1,9,
4023-1,54,3,8,
4023-10,54,8,8,
4023-11,54,9,8,
4023-2,54,5,8,
4023-3,54,5,8,
4023-4,54,5,8,
4023-5,54,5,8,
4023-6,54,7,8,
4023-7,54,7,8,
4023-8,54,7,8,
4023-9,54,8,8,
4024-1,60,1,1,
4024-1,60,2,2,
4024-1,60,3,3,
4024-1,60,4,4,
4024-1,61,2,2,
4024-1,61,3,3,
4024-1,61,4,4,
4024-2,60,1,2,
4024-2,60,2,1,
4024-2,60,2,3,
4024-2,60,3,2,
4024-2,60,3,4,
4024-2,61,1,2,
4024-2,61,2,3,
4024-2,61,3,4,
4024-3,60,1,3,
4024-3,60,2,4,
4024-3,60,3,1,
4024-3,60,4,2,
4024-3,61,1,3,
4024-3,61,2,4,
4024-4,60,1,4,
4024-4,60,4,1,
4024-4,61,1,4,
4025-1,91,8,8,
4025-2,91,8,10,
4102-1,64,4,4,
4103-1,65,2,4,
4103-1,65,3,2,
4103-1,65,3,4,
4103-1,65,4,2,
4103-1,65,4,3,
4103-1,65,4,4,
4104-1,66,3,3,
4105-1,67,2,2,
4105-1,67,2,3,
4105-1,67,3,2,
4105-1,67,3,3,
4105-1,67,3,4,
4105-1,67,4,3,
4105-1,67,4,4,
4106-1,68,2,2,
4106-1,68,3,3,
4106-1,69,1,1,
4106-1,69,1,2,
4106-1,69,2,1,
4106-1,69,2,2,
4107-1,92,1,2,
4107-1,92,1,3,
4107-1,92,2,1,
4107-1,92,2,2,
4107-1,92,2,3,
4107-1,92,3,3,
4107-1,93,2,2,
4107-1,93,2,3,
4107-1,93,3,2,
4107-1,93,3,3,
4108-1,72,2,3,
4108-1,72,3,2,
4108-1,72,3,3,
4108-1,73,2,2,
4108-1,73,2,3,
4108-1,73,3,2,
4108-1,73,3,3,
4109-1,74,3,3,
4109-1,74,3,4,
4109-1,74,4,3,
4109-1,74,4,4,
4109-1,75,3,3,
4109-1,75,3,4,
4109-1,75,4,3,
4109-1,75,4,4,
4110-1,76,2,3,
4110-1,76,3,3,
4111-1,77,4,4,
4111-1,78,3,3,
4111-1,78,3,4,
4111-1,78,4,3,
4111-1,78,4,4,
4112-1,79,2,2,
4112-1,79,2,3,
4112-1,79,3,3,
4112-2,79,2,3,
4113-1,80,1,2,
4113-1,80,2,2,
4114-1,58,4,4,
4114-1,59,3,3,
4114-1,59,5,3,
4114-2,58,3,4,
4114-2,58,4,3,
4115-1,81,3,3,
4115-1,81,4,4,
4115-1,82,2,2,
4115-1,82,2,3,
4115-1,82,2,4,
4115-1,82,3,2,
4115-1,82,3,3,
4115-1,82,3,4,
4115-1,82,4,2,
4115-1,82,4,3,
4115-2,81,3,4,
4115-2,81,4,3,
4116-1,83,2,2,
4116-1,83,2,3,
4116-1,83,2,4,
4116-1,83,3,2,
4116-1,83,4,2,
4116-1,83,4,3,
4116-1,83,4,4,
4117-1,84,2,2,
4117-1,84,2,3,
4117-1,84,2,4,
4117-1,84,3,2,
4117-1,84,3,3,
4117-1,84,3,4,
4117-1,84,4,2,
4118-1,85,3,3,
4118-1,85,3,4,
4118-1,85,4,3,
4119-1,86,4,4,
4119-1,87,4,4,
4120-1,88,2,2,
4120-1,88,2,3,
4120-1,88,2,4,
4120-1,88,3,2,
4120-1,88,3,3,
4120-1,88,3,4,
4120-1,88,4,2,
